,bankroll,alpha,binarize,fit_priorbool,span_value,test_size_value,ROI,Number_of_bets,0
506,,0.1,0.1,True,0.3,7,-0.39762470308788606,421,-67.40000000000002
507,,0.1,0.1,True,0.3,8,-0.4294939271255061,988,-324.34000000000003
508,,0.1,0.1,True,0.3,9,-0.38666666666666677,420,-62.40000000000002
509,,0.1,0.1,True,0.3,10,-0.42610766045548654,966,-311.62
510,,0.1,0.1,True,0.4,1,-0.5313775510204081,2156,-1045.6499999999999
511,,0.1,0.1,True,0.4,2,-0.5084842883548983,541,-175.08999999999997
512,,0.1,0.1,True,0.4,3,-0.5197492163009404,1914,-894.8
513,,0.1,0.1,True,0.4,4,-0.5071644392794886,1721,-772.8299999999999
514,,0.1,0.1,True,0.4,5,-0.49486151603498535,1372,-578.9499999999999
515,,0.1,0.1,True,0.4,6,-0.5001918465227818,1251,-525.74
516,,0.1,0.1,True,0.4,7,-0.49739229024943304,1323,-558.05
517,,0.1,0.1,True,0.4,8,-0.518552548772813,1589,-723.9799999999999
518,,0.1,0.1,True,0.4,9,-0.5145475819032761,1282,-559.65
519,,0.1,0.1,True,0.4,10,-0.5155812101910827,1256,-547.5699999999999
520,,0.1,0.1,False,0.1,1,-0.115,526,39.51
521,,0.1,0.1,False,0.1,2,-0.16413793103448274,145,76.2
522,,0.1,0.1,False,0.1,3,-0.19278688524590173,122,76.47999999999999
523,,0.1,0.1,False,0.1,4,0.06890207715133552,337,123.22000000000007
524,,0.1,0.1,False,0.1,5,-0.17776785714285737,112,80.08999999999997
525,,0.1,0.1,False,0.1,6,-0.11261194029850749,134,84.91
526,,0.1,0.1,False,0.1,7,-0.19830357142857163,112,77.78999999999998
527,,0.1,0.1,False,0.1,8,0.012636655948553305,311,103.93000000000008
528,,0.1,0.1,False,0.1,9,-0.127925925925926,135,82.72999999999999
529,,0.1,0.1,False,0.1,10,-0.13433823529411773,136,81.72999999999999
530,,0.1,0.1,False,0.2,1,-0.0637911025145067,1034,34.04000000000006
531,,0.1,0.1,False,0.2,2,-0.09290909090909072,715,33.570000000000135
532,,0.1,0.1,False,0.2,3,-0.07848656294200838,707,44.510000000000076
533,,0.1,0.1,False,0.2,4,-0.06004115226337427,243,85.41000000000005
534,,0.1,0.1,False,0.2,5,-0.08638596491228052,285,75.38000000000005
535,,0.1,0.1,False,0.2,6,-0.0895804195804194,286,74.38000000000005
536,,0.1,0.1,False,0.2,7,-0.09903114186851193,289,71.38000000000005
537,,0.1,0.1,False,0.2,8,-0.10197916666666648,288,70.63000000000005
538,,0.1,0.1,False,0.2,9,-0.10817241379310327,290,68.63000000000005
539,,0.1,0.1,False,0.2,10,-0.10320689655172396,290,70.07000000000005
540,,0.1,0.1,False,0.3,1,-0.37197419354838707,1550,-476.55999999999995
541,,0.1,0.1,False,0.3,2,-0.41008928571428577,448,-83.72000000000001
542,,0.1,0.1,False,0.3,3,-0.4214246575342466,1095,-361.46000000000004
543,,0.1,0.1,False,0.3,4,-0.4002994791666666,768,-207.42999999999995
544,,0.1,0.1,False,0.3,5,-0.41301431801055005,1327,-448.06999999999994
545,,0.1,0.1,False,0.3,6,-0.41582104228121924,1017,-322.89
546,,0.1,0.1,False,0.3,7,-0.3895734597156399,422,-64.40000000000002
547,,0.1,0.1,False,0.3,8,-0.38666666666666677,420,-62.40000000000002
548,,0.1,0.1,False,0.3,9,-0.38666666666666677,420,-62.40000000000002
549,,0.1,0.1,False,0.3,10,-0.42610766045548654,966,-311.62
550,,0.1,0.1,False,0.4,1,-0.5298799807969276,2083,-1003.74
551,,0.1,0.1,False,0.4,2,-0.48920454545454545,1496,-631.85
552,,0.1,0.1,False,0.4,3,-0.5209357030841609,1913,-896.55
553,,0.1,0.1,False,0.4,4,-0.5091376451077944,1809,-821.03
554,,0.1,0.1,False,0.4,5,-0.49449307075127646,1371,-577.95
555,,0.1,0.1,False,0.4,6,-0.5118899082568806,545,-178.97999999999996
556,,0.1,0.1,False,0.4,7,-0.51654478976234,547,-182.54999999999995
557,,0.1,0.1,False,0.4,8,-0.5085978428351309,1298,-560.1599999999999
558,,0.1,0.1,False,0.4,9,-0.5137022603273577,1283,-559.0799999999999
559,,0.1,0.1,False,0.4,10,-0.5133042096902304,1259,-546.25
560,,0.1,0.5,True,0.1,1,-0.09423507462686569,536,49.489999999999995
561,,0.1,0.5,True,0.1,2,-0.2008695652173915,115,76.89999999999998
562,,0.1,0.5,True,0.1,3,-0.1682300884955754,113,80.98999999999998
